km,brand,fuel,gear,price,cv,year
35450,Skoda,Gasoline,Manual,6445,61,2017
65635,Volkswagen,Gasoline,Manual,6490,61,2017
83000,Toyota,Gasoline,Manual,6500,70,2017
35000,Dacia,Gasoline,Manual,6700,91,2017
35093,Volkswagen,Gasoline,Manual,6750,61,2017
66000,Fiat,Gasoline,Manual,6799,70,2017
61000,Hyundai,Gasoline,Manual,6900,68,2017
118759,Ford,Diesel,Manual,6990,96,2017
31500,Smart,Gasoline,Manual,6999,72,2017
77403,Ford,Diesel,Manual,7090,76,2017
66990,Audi,Diesel,Automatic,31880,276,2018
73500,Audi,Diesel,Automatic,31980,165,2018
59990,Audi,Diesel,Automatic,32940,221,2018
79300,Mercedes-Benz,Diesel,Automatic,34775,207,2018
46300,Audi,Diesel,Automatic,34890,193,2018
54496,Audi,Diesel,Automatic,35480,234,2018
51878,Volkswagen,Diesel,Automatic,35490,242,2018
13400,Cupra,Gasoline,Automatic,35990,304,2018
85200,Volkswagen,Diesel,Automatic,37700,227,2018
49900,Audi,Diesel,Automatic,37950,324,2018
39580,Audi,Diesel,Automatic,39444,193,2018
49394,Audi,Diesel,Automatic,42480,193,2018
81750,Audi,Gasoline,Automatic,42675,359,2018
68900,Audi,Diesel,Automatic,43900,290,2018
72500,Audi,Gasoline,Automatic,44450,359,2018
109590,Audi,Diesel,Automatic,44850,276,2018
28650,Bmw,Gasoline,Automatic,44980,375,2018
93390,Audi,Diesel,Automatic,44984,290,2018
60188,Volvo,Diesel,Automatic,45990,238,2018
52070,Bmw,Diesel,Automatic,46890,269,2018
13710,Ford,Gasoline,Automatic,26480,152,2019
27949,Audi,Diesel,Automatic,26880,152,2019
22500,Ford,Gasoline,Automatic,26880,152,2019
57501,Bmw,Diesel,Automatic,26970,193,2019
34450,Volkswagen,Diesel,Automatic,26980,152,2019
35950,Volkswagen,Diesel,Automatic,27440,152,2019
12178,Audi,Gasoline,Manual,27440,152,2019
41365,Volkswagen,Diesel,Automatic,27490,193,2019
31900,Mercedes-Benz,Diesel,Automatic,27600,165,2019
45700,Audi,Diesel,Automatic,27980,152,2019
9243,Seat,Gasoline,Automatic,28250,152,2019
8650,Ford,Diesel,Automatic,28980,181,2019
17615,Skoda,Gasoline,Automatic,28990,152,2019
4016,Mercedes-Benz,Gasoline,Automatic,29111,214,2019
9290,Ford,Diesel,Automatic,29980,181,2019
8650,Ford,Diesel,Automatic,29980,181,2019
22900,Seat,Gasoline,Automatic,29990,152,2019
2955,Audi,Diesel,Automatic,29994,152,2019
1060,Ford,Diesel,Manual,30452,133,2019
27500,Bmw,Diesel,Automatic,30675,193,2019
23490,Audi,Hybrid,Automatic,59440,372,2020
19000,Audi,Hybrid,Automatic,59850,372,2020
31420,Audi,Gasoline,Automatic,59985,406,2020
23402,Audi,Gasoline,Automatic,64885,406,2020
3850,Jaguar,Gasoline,Automatic,64900,386,2020
11650,Audi,Gasoline,Automatic,65890,406,2020
11100,Porsche,Gasoline,Automatic,65900,248,2020
25300,Volkswagen,Diesel,Automatic,66740,290,2020
23490,Audi,Diesel,Automatic,66790,352,2020
999,Audi,Hybrid,Automatic,66890,372,2020
22500,Audi,Diesel,Automatic,67840,352,2020
8200,Audi,Diesel,Automatic,69890,290,2020
11700,Audi,Gasoline,Automatic,69890,406,2020
18150,Audi,Diesel,Automatic,69980,352,2020
19950,Volkswagen,Diesel,Automatic,70980,152,2020
16800,Audi,Diesel,Automatic,81890,290,2020
41100,Audi,Diesel,Automatic,81890,290,2020
29150,Audi,Gasoline,Automatic,81890,345,2020
28400,Audi,Diesel,Automatic,83890,290,2020
100,Fiat,Gasoline,Manual,10600,70,2021
15,Fiat,Hybrid,Manual,10680,70,2021
20,Toyota,Gasoline,Manual,10823,73,2021
15,Fiat,Hybrid,Manual,10980,70,2021
10,Toyota,Gasoline,Manual,10997,73,2021
9,Toyota,Gasoline,Manual,11490,73,2021
100,Hyundai,Gasoline,Manual,11499,68,2021
10,Toyota,Gasoline,Manual,11790,73,2021
10,Kia,Gasoline,Manual,11950,85,2021
10,Toyota,Gasoline,Manual,11990,73,2021
132500,Volkswagen,Gasoline,Automatic,7800,124,2011
69019,Peugeot,Gasoline,Manual,7850,158,2011
123600,Ford,Gasoline,Manual,7885,152,2011
95963,Opel,Gasoline,Manual,7900,122,2011
71908,Nissan,Gasoline,Manual,7900,119,2011
93510,Kia,Gasoline,Manual,7900,91,2011
131322,Volkswagen,Gasoline,Manual,7900,124,2011
228000,Volkswagen,Diesel,Manual,7900,172,2011
61999,Honda,Gasoline,Manual,7949,100,2011
87216,Volkswagen,Gasoline,Manual,7970,124,2011
120600,Ford,Gasoline,Manual,7970,152,2011
119850,Volkswagen,Gasoline,Automatic,7990,87,2011
154500,Volkswagen,Gasoline,Manual,7990,162,2011
92800,Renault,Gasoline,Manual,7990,133,2011
118210,Volkswagen,Gasoline,Manual,7990,162,2011
86000,Opel,Gasoline,Manual,7998,118,2011
24170,Toyota,Gasoline,Automatic,7999,134,2011
188758,Volkswagen,Diesel,Manual,7999,142,2011
107001,Volkswagen,Gasoline,Manual,7999,124,2011
81179,Ford,Gasoline,Manual,7900,106,2012
98669,Toyota,Hybrid,Automatic,7900,76,2012
86747,Skoda,Gasoline,Manual,7900,87,2012
147500,Skoda,Diesel,Manual,7900,142,2012
140000,Toyota,Diesel,Manual,7950,126,2012
89400,Volkswagen,Gasoline,Manual,7980,124,2012
100000,Skoda,Gasoline,Manual,7980,124,2012
14300,Opel,Gasoline,Automatic,7990,102,2012
102000,Opel,Gasoline,Manual,7990,181,2012
98600,Seat,Gasoline,Automatic,7990,162,2012
123000,Ford,Gasoline,Manual,7990,162,2012
70600,Toyota,Gasoline,Automatic,7990,100,2012
35300,Kia,Gasoline,Manual,7990,100,2012
128000,Volkswagen,Gasoline,Manual,7990,124,2012
91000,Volkswagen,Gasoline,Manual,7990,106,2012
100000,Hyundai,Gasoline,Manual,7999,137,2012
105531,Toyota,Gasoline,Automatic,7999,100,2012
110405,Volkswagen,Gasoline,Manual,7999,124,2012
261000,Bmw,Diesel,Automatic,8000,187,2012
82822,Toyota,Hybrid,Automatic,8500,76,2013
